source_figure,source_panel,source_file,grain,plot_role,row_order,metric_order,metric,metric_label,value,value_pct,ci95_low_pct,ci95_high_pct,ci95_halfwidth_pct,full_pass,denominator,count_label,n_points,runs,suite,suite_label,family,family_label,tier,tier_label,model_tier,model_group,model,model_label,model_order,input_source,denominator_policy,data_scope,notes
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.6600358175293601,66.00358175293601,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,4.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.5547986962301773,55.47986962301773,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,5.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,1,full_pass_rate,Full pass,0.0,0.0,,,,0.0,30.0,0/30 (0.0%),,29.0,,,Travel,Travel,,,F,Frontier,gpt54,GPT-5.4,6.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,1,full_pass_rate,Full pass,0.0,0.0,,,,0.0,30.0,0/30 (0.0%),,30.0,,,Travel,Travel,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,1,full_pass_rate,Full pass,0.1,10.0,,,,3.0,30.0,3/30 (10.0%),,28.0,,,Travel,Travel,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,2,formal_mean,Scenario-level conformance,0.6233852445688023,62.33852445688023,,,,,29.0,,,29.0,,,Travel,Travel,,,F,Frontier,gpt54,GPT-5.4,6.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,2,formal_mean,Scenario-level conformance,0.4245888979907407,42.458889799074065,,,,,30.0,,,30.0,,,Travel,Travel,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,2,formal_mean,Scenario-level conformance,0.6145241623484005,61.452416234840044,,,,,28.0,,,28.0,,,Travel,Travel,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,3,stepwise_mean,Step-level progress,0.8192463914997465,81.92463914997465,,,,,29.0,,,29.0,,,Travel,Travel,,,F,Frontier,gpt54,GPT-5.4,6.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,3,stepwise_mean,Step-level progress,0.6294461785220131,62.94461785220131,,,,,30.0,,,30.0,,,Travel,Travel,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,3,stepwise_mean,Step-level progress,0.7759579372311839,77.59579372311839,,,,,28.0,,,28.0,,,Travel,Travel,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,1,1,full_pass_rate,Full pass,0.0,0.0,,,,0.0,30.0,0/30 (0.0%),,30.0,,,Travel,Travel,,,M,Mini,gpt54_nano,GPT-5.4 nano,0.0,raw_runs.csv,planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
