suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
clinic_shift_command,Clinical Command,A,Consumer,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.4236842105263158,0.6345951526543632,raw_current
clinic_shift_command,Clinical Command,A,Consumer,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.06710526315789471,0.24638414217361584,raw_current
clinic_shift_command,Clinical Command,A,Consumer,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0026315789473684197,0.14068153337890174,raw_current
clinic_shift_command,Clinical Command,A,Consumer,T,Turbo,gpt54_mini,GPT-5.4 mini,10,2,0.45789473684210524,0.5721189336978811,raw_current
clinic_shift_command,Clinical Command,A,Consumer,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,3,0.6236842105263157,0.6844306789701526,raw_current
clinic_shift_command,Clinical Command,A,Consumer,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,2,0.6921052631578947,0.7588039701526543,raw_current
clinic_shift_command,Clinical Command,A,Consumer,F,Frontier,gpt54,GPT-5.4,10,3,0.7802631578947368,0.8189695830485304,raw_current
clinic_shift_command,Clinical Command,A,Consumer,F,Frontier,claude_opus46,Claude Opus 4.6,10,8,0.8,0.8228073023467759,raw_current
clinic_shift_command,Clinical Command,A,Consumer,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,5,0.5605263157894737,0.6531707108680792,raw_current
clinic_shift_command,Clinical Command,B,Operational,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.1322314049586777,0.27202430145611967,raw_current
clinic_shift_command,Clinical Command,B,Operational,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.09504132231404959,0.25719303423848877,raw_current
clinic_shift_command,Clinical Command,B,Operational,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.1002164502164502,raw_current
clinic_shift_command,Clinical Command,B,Operational,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.00495867768595041,0.11362258953168043,raw_current
clinic_shift_command,Clinical Command,B,Operational,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,3,0.7355371900826446,0.7868678669815033,raw_current
clinic_shift_command,Clinical Command,B,Operational,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,1,0.4016528925619835,0.4801480716253444,raw_current
clinic_shift_command,Clinical Command,B,Operational,F,Frontier,gpt54,GPT-5.4,10,6,0.9776859504132231,0.9954545454545455,raw_current
clinic_shift_command,Clinical Command,B,Operational,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.9611570247933885,0.9973189689098779,raw_current
clinic_shift_command,Clinical Command,B,Operational,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,3,0.7181818181818181,0.8300836284927193,raw_current
